챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
탐 켄치,49.9%,697,강철심장 + 정령의 형상,59.3%,27,끝없는 절망 + 강철심장,53.3%,15,강철심장 + 종말의 겨울,53.2%,62,강철심장 + 끝없는 절망,51.1%,188,강철심장 + 워모그의 갑옷,52.3%,65,강철심장 + 종말의 겨울,53.2%,62
이즈리얼,49.8%,2087,정수 약탈자 + 무라마나,66.7%,21,쇼진의 창 + 무라마나,61.5%,26,굶주린 히드라 + 무라마나,61.5%,13,삼위일체 + 무라마나,52.2%,1026,무라마나 + 삼위일체,50.8%,423,삼위일체 + 쇼진의 창,48.5%,33
럭스,49.8%,1497,악의 + 리안드리의 고통,80.0%,10,어둠불꽃 횃불 + 리안드리의 고통,79.2%,24,악의 + 존야의 모래시계,63.6%,11,루덴의 메아리 + 폭풍 쇄도,50.6%,334,루덴의 메아리 + 그림자불꽃,49.5%,216,루덴의 메아리 + 지평선의 초점,48.9%,90
블라디미르,49.8%,814,리안드리의 고통 + 우주의 추진력,68.8%,16,마법공학 로켓 벨트 + 라바돈의 죽음모자,66.7%,15,리안드리의 고통 + 균열 생성기,58.1%,31,균열 생성기 + 우주의 추진력,44.4%,151,균열 생성기 + 리안드리의 고통,56.5%,69,우주의 추진력 + 균열 생성기,56.8%,44
브라이어,49.8%,249,강철심장 + 갈라진 하늘,72.7%,11,갈라진 하늘 + 죽음의 무도,50.0%,20,월식 + 갈라진 하늘,50.0%,16,갈라진 하늘 + 월식,44.4%,54,갈라진 하늘 + 죽음의 무도,50.0%,20,월식 + 갈라진 하늘,50.0%,16
헤카림,49.8%,265,쇼진의 창 + 무라마나,63.6%,11,무라마나 + 갈라진 하늘,60.0%,15,무라마나 + 월식,50.0%,46,무라마나 + 월식,50.0%,46,무라마나 + 쇼진의 창,40.5%,42,무라마나 + 갈라진 하늘,60.0%,15
제라스,49.6%,1684,라바돈의 죽음모자 + 루덴의 메아리,71.4%,14,라바돈의 죽음모자 + 그림자불꽃,69.6%,23,어둠불꽃 횃불 + 지평선의 초점,61.9%,21,루덴의 메아리 + 지평선의 초점,49.7%,491,루덴의 메아리 + 그림자불꽃,47.6%,252,루덴의 메아리 + 라바돈의 죽음모자,52.6%,97
비에고,49.5%,1179,몰락한 왕의 검 + 죽음의 무도,70.0%,10,갈라진 하늘 + 죽음의 무도,60.9%,46,크라켄 학살자 + 갈라진 하늘,60.0%,20,갈라진 하늘 + 몰락한 왕의 검,45.5%,244,삼위일체 + 징수의 총,51.0%,147,삼위일체 + 갈라진 하늘,51.2%,80
트린다미어,49.5%,388,몰락한 왕의 검 + 나보리 명멸검,71.4%,14,강철심장 + 거대한 히드라,68.8%,16,강철심장 + 나보리 명멸검,58.8%,17,강철심장 + 몰락한 왕의 검,47.1%,70,강철심장 + 나보리 명멸검,58.8%,17,강철심장 + 거대한 히드라,68.8%,16
흐웨이,49.4%,1179,존야의 모래시계 + 어둠불꽃 횃불,70.0%,10,리안드리의 고통 + 어둠불꽃 횃불,60.6%,33,대천사의 포옹 + 리안드리의 고통,58.1%,43,어둠불꽃 횃불 + 리안드리의 고통,51.1%,370,어둠불꽃 횃불 + 그림자불꽃,43.5%,69,루덴의 메아리 + 그림자불꽃,34.7%,49
신지드,49.4%,557,종말의 겨울 + 리안드리의 고통,60.0%,10,종말의 겨울 + 라일라이의 수정홀,54.5%,33,라일라이의 수정홀 + 리안드리의 고통,53.8%,13,영겁의 지팡이 + 라일라이의 수정홀,51.0%,157,영겁의 지팡이 + 리안드리의 고통,48.1%,54,리안드리의 고통 + 라일라이의 수정홀,50.0%,36
람머스,49.4%,330,해신 작쇼 + 가시 갑옷,58.3%,12,가시 갑옷 + 끝없는 절망,55.2%,58,강철심장 + 가시 갑옷,50.0%,14,가시 갑옷 + 끝없는 절망,55.2%,58,가시 갑옷 + 해신 작쇼,47.2%,53,가시 갑옷 + 태양불꽃 방패,47.6%,21
블리츠크랭크,49.3%,1809,강철의 솔라리 펜던트 + 종말의 겨울,73.3%,15,워모그의 갑옷 + 종말의 겨울,67.5%,40,악의 + 종말의 겨울,66.7%,12,강철심장 + 종말의 겨울,47.8%,205,종말의 겨울 + 워모그의 갑옷,51.9%,187,악의 + 폭풍 쇄도,45.7%,173
직스,49.3%,1224,어둠불꽃 횃불 + 그림자불꽃,65.6%,32,리안드리의 고통 + 루덴의 메아리,64.3%,14,라바돈의 죽음모자 + 리안드리의 고통,63.6%,11,어둠불꽃 횃불 + 리안드리의 고통,53.7%,259,루덴의 메아리 + 리안드리의 고통,49.6%,127,루덴의 메아리 + 그림자불꽃,51.3%,115
샤코,49.3%,1111,라바돈의 죽음모자 + 그림자불꽃,63.6%,11,악의 + 어둠불꽃 횃불,61.5%,26,악의 + 루덴의 메아리,60.0%,15,어둠불꽃 횃불 + 리안드리의 고통,52.0%,179,루덴의 메아리 + 리안드리의 고통,56.2%,130,악의 + 리안드리의 고통,41.0%,83
다이애나,49.3%,754,존야의 모래시계 + 폭풍 쇄도,75.0%,12,마법공학 로켓 벨트 + 그림자불꽃,64.7%,17,리안드리의 고통 + 존야의 모래시계,62.5%,16,마법공학 로켓 벨트 + 존야의 모래시계,38.6%,83,리안드리의 고통 + 균열 생성기,57.6%,66,마법공학 로켓 벨트 + 폭풍 쇄도,42.1%,38
클레드,49.3%,142,거대한 히드라 + 강철심장,85.7%,14,강철심장 + 거대한 히드라,55.0%,20,거대한 히드라 + 갈라진 하늘,50.0%,16,강철심장 + 거대한 히드라,55.0%,20,거대한 히드라 + 갈라진 하늘,50.0%,16,거대한 히드라 + 강철심장,85.7%,14
갱플랭크,49.2%,1118,삼위일체 + 불멸의 철갑궁,80.0%,10,삼위일체 + 독사의 송곳니,66.7%,15,무한의 대검 + 삼위일체,63.0%,27,삼위일체 + 징수의 총,49.1%,387,삼위일체 + 무한의 대검,51.6%,95,징수의 총 + 삼위일체,43.1%,58
트리스타나,49.2%,1156,징수의 총 + 무한의 대검,65.6%,32,나보리 명멸검 + 윤 탈 야생화살,63.6%,11,도미닉 경의 인사 + 무한의 대검,62.5%,16,윤 탈 야생화살 + 나보리 명멸검,43.9%,319,윤 탈 야생화살 + 무한의 대검,45.0%,140,크라켄 학살자 + 나보리 명멸검,50.0%,56
미스 포츈,49.0%,1839,어둠불꽃 횃불 + 그림자불꽃,66.7%,21,윤 탈 야생화살 + 무한의 대검,63.6%,11,세릴다의 원한 + 징수의 총,60.0%,10,징수의 총 + 원칙의 원형낫,49.0%,259,징수의 총 + 무라마나,42.3%,227,어둠불꽃 횃불 + 리안드리의 고통,58.7%,201
아트록스,49.0%,1097,오만 + 쇼진의 창,70.0%,10,월식 + 불경한 히드라,69.2%,13,불경한 히드라 + 갈라진 하늘,66.7%,12,월식 + 갈라진 하늘,52.1%,240,갈라진 하늘 + 쇼진의 창,44.4%,117,갈라진 하늘 + 월식,46.3%,108
리 신,48.9%,1751,갈라진 하늘 + 맬모셔스의 아귀,66.7%,15,월식 + 칠흑의 양날 도끼,64.5%,31,스테락의 도전 + 갈라진 하늘,61.5%,13,월식 + 갈라진 하늘,48.1%,522,갈라진 하늘 + 월식,52.6%,213,오만 + 월식,52.1%,71
암베사,48.9%,801,월식 + 맬모셔스의 아귀,80.0%,10,월식 + 칠흑의 양날 도끼,67.6%,34,쇼진의 창 + 월식,66.7%,21,월식 + 쇼진의 창,49.1%,316,월식 + 갈라진 하늘,46.4%,69,월식 + 칠흑의 양날 도끼,67.6%,34
다리우스,48.9%,681,갈라진 하늘 + 죽음의 무도,75.0%,12,갈라진 하늘 + 발걸음 분쇄기,68.4%,19,갈라진 하늘 + 스테락의 도전,66.7%,12,삼위일체 + 갈라진 하늘,53.2%,111,발걸음 분쇄기 + 망자의 갑옷,36.1%,36,삼위일체 + 스테락의 도전,48.6%,35
아우렐리온 솔,48.9%,988,대천사의 포옹 + 어둠불꽃 횃불,80.0%,10,어둠불꽃 횃불 + 핏빛 저주,80.0%,10,대천사의 포옹 + 리안드리의 고통,57.1%,21,라일라이의 수정홀 + 대천사의 포옹,45.8%,155,어둠불꽃 횃불 + 라일라이의 수정홀,44.4%,81,대천사의 포옹 + 라일라이의 수정홀,43.8%,80
요릭,48.8%,162,갈라진 하늘 + 정령의 형상,70.0%,10,갈라진 하늘 + 삼위일체,63.6%,11,갈라진 하늘 + 얼어붙은 건틀릿,48.6%,37,갈라진 하늘 + 얼어붙은 건틀릿,48.6%,37,갈라진 하늘 + 삼위일체,63.6%,11,갈라진 하늘 + 정령의 형상,70.0%,10
카르마,48.8%,1367,월석 재생기 + 불타는 향로,83.3%,12,루덴의 메아리 + 라바돈의 죽음모자,70.0%,10,대천사의 포옹 + 악의,64.3%,14,악의 + 루덴의 메아리,47.5%,255,악의 + 그림자불꽃,48.9%,139,악의 + 폭풍 쇄도,42.5%,87
